Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Qty,Variant Price,Image Src,SEO Title,SEO Description,Specs (product.metafields.custom.specs),Ingredients (product.metafields.custom.ingredients)
vela-aero-9,Vela Aero 9,"<p>Fast, but not fragile. Aero 9 sits in that sweet spot between your daily trainer and your race shoe — quick enough for intervals, sane enough for a long one.</p>",Vela,Apparel & Accessories > Shoes,Running Shoes,"tempo, road, vela, mid-price, breathable, nylon-plate",TRUE,Size,US M9,VELAAERO9,236,90,199.00,https://cdn.example.com/vela-aero-9.jpg,Vela Aero 9 | Running Shoes,Shop the Vela Aero 9. Free returns.,Weight: 236g (US M9) | Heel-to-toe drop: 7mm | Stack height: 32mm | Surface: road | Support: neutral | Fit: standard | Closure: traditional lace | Upper: engineered mesh (high ventilation),
vela-aero-9-elite,Vela Aero 9 Elite,"<p>This is the one you save for the start line. Aero 9 Elite is stripped of everything that doesn't make you faster. When the gun goes off, you'll feel it.</p>",Vela,Apparel & Accessories > Shoes,Running Shoes,"race, road, vela, premium-price, breathable, carbon-plate",TRUE,Size,US M9,VELAAERO9ELITE,188,48,309.00,https://cdn.example.com/vela-aero-9-elite.jpg,Vela Aero 9 Elite | Running Shoes,Shop the Vela Aero 9 Elite. Free returns.,Weight: 188g (US M9) | Heel-to-toe drop: 5mm | Stack height: 39mm | Surface: road | Support: neutral | Fit: narrow | Closure: traditional lace | Upper: engineered mesh (high ventilation),
vela-halo-max,Vela Halo Max,<p>The day after the long run has a shoe now. Halo Max wraps your feet in cushioning that takes the sting out of tired legs.</p>,Vela,Apparel & Accessories > Shoes,Running Shoes,"recovery, road, vela, premium-price, wide-fit",TRUE,Size,US M9,VELAHALOMAX,311,0,259.00,https://cdn.example.com/vela-halo-max.jpg,Vela Halo Max | Running Shoes,Shop the Vela Halo Max. Free returns.,Weight: 311g (US M9) | Heel-to-toe drop: 9mm | Stack height: 42mm | Surface: road | Support: neutral | Fit: wide | Closure: traditional lace | Upper: engineered mesh (standard ventilation),
vela-halo-breeze,Vela Halo Breeze,"<p>Your everyday mile-eater. Halo Breeze was built for the runs that don't make the highlight reel — the easy ones, the before-work ones, the ones that add up. Soft where it counts, honest everywhere else.</p>",Vela,Apparel & Accessories > Shoes,Running Shoes,"daily, road, vela, mid-price, breathable",TRUE,Size,US M9,VELAHALOBREEZE,244,4,189.00,https://cdn.example.com/vela-halo-breeze.jpg,Vela Halo Breeze | Running Shoes,Shop the Vela Halo Breeze. Free returns.,See product page for details.,
terrafirma-anchor,Terrafirma Anchor Daily,"<p>Your everyday mile-eater. Anchor Daily was built for the runs that don't make the highlight reel — the easy ones, the before-work ones, the ones that add up. Soft where it counts, honest everywhere else.</p>",Terrafirma,Apparel & Accessories > Shoes,Running Shoes,"daily, road, terrafirma, budget-price",TRUE,Size,US M9,TERRAFIRMAANCH,276,200,149.00,https://cdn.example.com/terrafirma-anchor.jpg,Terrafirma Anchor Daily | Running Shoes,Shop the Terrafirma Anchor Daily. Free returns.,See product page for details.,
terrafirma-anchor-plus,Terrafirma Anchor Plus,"<p>Steady underfoot, mile after mile. Anchor Plus keeps you tracking straight when form starts to fade, without the clunk you'd expect.</p>",Terrafirma,Apparel & Accessories > Shoes,Running Shoes,"stability, road, terrafirma, mid-price, wide-fit",TRUE,Size,US M9,TERRAFIRMAANCH,294,200,169.00,https://cdn.example.com/terrafirma-anchor-plus.jpg,Terrafirma Anchor Plus | Running Shoes,Shop the Terrafirma Anchor Plus. Free returns.,294g / 10mm drop / road / lace-up,
terrafirma-loop-treadmill,Terrafirma Loop Indoor,"<p>Your everyday mile-eater. Loop Indoor was built for the runs that don't make the highlight reel — the easy ones, the before-work ones, the ones that add up. Soft where it counts, honest everywhere else.</p>",Terrafirma,Apparel & Accessories > Shoes,Running Shoes,"daily, road, terrafirma, budget-price, breathable",TRUE,Size,US M9,TERRAFIRMALOOP,262,4,139.00,https://cdn.example.com/terrafirma-loop-treadmill.jpg,Terrafirma Loop Indoor | Running Shoes,Shop the Terrafirma Loop Indoor. Free returns.,See product page for details.,
halcyon-zephyr-lt,Halcyon Zephyr LT,"<p>Fast, but not fragile. Zephyr LT sits in that sweet spot between your daily trainer and your race shoe — quick enough for intervals, sane enough for a long one.</p>",Halcyon,Apparel & Accessories > Shoes,Running Shoes,"tempo, road, halcyon, mid-price, breathable",TRUE,Size,US M9,HALCYONZEPHYRL,228,48,219.00,https://cdn.example.com/halcyon-zephyr-lt.jpg,Halcyon Zephyr LT | Running Shoes,Shop the Halcyon Zephyr LT. Free returns.,Weight: 228g (US M9) | Heel-to-toe drop: 6mm | Stack height: 30mm | Surface: road | Support: neutral | Fit: narrow | Closure: traditional lace | Upper: engineered mesh (high ventilation),
halcyon-meander,Halcyon Meander Easy,<p>The day after the long run has a shoe now. Meander Easy wraps your feet in cushioning that takes the sting out of tired legs.</p>,Halcyon,Apparel & Accessories > Shoes,Running Shoes,"recovery, road, halcyon, mid-price",TRUE,Size,US M9,HALCYONMEANDER,289,4,199.00,https://cdn.example.com/halcyon-meander.jpg,Halcyon Meander Easy | Running Shoes,Shop the Halcyon Meander Easy. Free returns.,289g / 11mm drop / road / lace-up,
halcyon-crossover-gym,Halcyon Crossover Gym,"<p>Your everyday mile-eater. Crossover Gym was built for the runs that don't make the highlight reel — the easy ones, the before-work ones, the ones that add up. Soft where it counts, honest everywhere else.</p>",Halcyon,Apparel & Accessories > Shoes,Running Shoes,"daily, road, halcyon, budget-price",TRUE,Size,US M9,HALCYONCROSSOV,271,90,159.00,https://cdn.example.com/halcyon-crossover-gym.jpg,Halcyon Crossover Gym | Running Shoes,Shop the Halcyon Crossover Gym. Free returns.,See product page for details.,
