Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Qty,Variant Price,Image Src,SEO Title,SEO Description,Specs (product.metafields.custom.specs),Ingredients (product.metafields.custom.ingredients)
clearfield-aha-night,Clearfield Resurfacing AHA 8% Night Fluid,<p>A focused step for skin that wants results. Resurfacing AHA 8% Night Fluid is where your routine stops being maintenance and starts being intentional.</p>,Clearfield,Health & Beauty > Personal Care > Cosmetics > Skin Care,Treatment,"treatment, clearfield, budget-price, normal, combination, oily, fragrance-free, vegan",TRUE,Size,30ml,CLEARFIELDAHAN,30,0,44.00,https://cdn.example.com/clearfield-aha-night.jpg,Clearfield Resurfacing AHA 8% Night Fluid | Skincare,Shop the Clearfield Resurfacing AHA 8% Night Fluid. Free shipping over S$60.,,"Aqua, Glycerin, Glycolic Acid, Panthenol, Sodium Hyaluronate"
clearfield-foam-wash,Clearfield Deep Clean Foaming Wash,"<p>Start clean. Deep Clean Foaming Wash lifts the day off your skin without that stripped, squeaky feeling nobody actually enjoys.</p>",Clearfield,Health & Beauty > Personal Care > Cosmetics > Skin Care,Cleanser,"cleanser, clearfield, budget-price, oily, fragrance-free, vegan",TRUE,Size,200ml,CLEARFIELDFOAM,200,60,26.00,https://cdn.example.com/clearfield-foam-wash.jpg,Clearfield Deep Clean Foaming Wash | Skincare,Shop the Clearfield Deep Clean Foaming Wash. Free shipping over S$60.,,"Aqua, Glycerin, Salicylic Acid, Panthenol, Sodium Hyaluronate"
clearfield-spot-gel,Clearfield Targeted Spot Gel,<p>A focused step for skin that wants results. Targeted Spot Gel is where your routine stops being maintenance and starts being intentional.</p>,Clearfield,Health & Beauty > Personal Care > Cosmetics > Skin Care,Treatment,"treatment, clearfield, budget-price, oily, combination, fragrance-free, vegan",TRUE,Size,15ml,CLEARFIELDSPOT,15,0,22.00,https://cdn.example.com/clearfield-spot-gel.jpg,Clearfield Targeted Spot Gel | Skincare,Shop the Clearfield Targeted Spot Gel. Free shipping over S$60.,,"Aqua, Glycerin, Benzoyl Peroxide, Panthenol, Sodium Hyaluronate"
clearfield-mattifying-spf,Clearfield Matte Shield SPF30,<p>The step you'll never skip again. Matte Shield SPF30 sits invisibly under everything and stays put through your day.</p>,Clearfield,Health & Beauty > Personal Care > Cosmetics > Skin Care,Sunscreen,"sunscreen, clearfield, budget-price, oily, combination, vegan, spf30",TRUE,Size,40ml,CLEARFIELDMATT,40,110,32.00,https://cdn.example.com/clearfield-mattifying-spf.jpg,Clearfield Matte Shield SPF30 | Skincare,Shop the Clearfield Matte Shield SPF30. Free shipping over S$60.,,"Aqua, Glycerin, Octocrylene, Silica, Panthenol, Sodium Hyaluronate, Parfum"
petal-rosewater-mist,Petal Theory Rosewater Hydrating Mist,<p>A focused step for skin that wants results. Rosewater Hydrating Mist is where your routine stops being maintenance and starts being intentional.</p>,Petal Theory,Health & Beauty > Personal Care > Cosmetics > Skin Care,Treatment,"treatment, petal-theory, budget-price, normal, dry, combination, vegan, refillable",TRUE,Size,100ml,PETALROSEWATER,100,20,30.00,https://cdn.example.com/petal-rosewater-mist.jpg,Petal Theory Rosewater Hydrating Mist | Skincare,Shop the Petal Theory Rosewater Hydrating Mist. Free shipping over S$60.,,"Aqua, Glycerin, Rose Water, Glycerin, Panthenol, Sodium Hyaluronate, Parfum"
petal-bloom-oil,Petal Theory Bloom Facial Oil,<p>A focused step for skin that wants results. Bloom Facial Oil is where your routine stops being maintenance and starts being intentional.</p>,Petal Theory,Health & Beauty > Personal Care > Cosmetics > Skin Care,Treatment,"treatment, petal-theory, budget-price, dry, normal, vegan",TRUE,Size,30ml,PETALBLOOMOIL,30,200,58.00,https://cdn.example.com/petal-bloom-oil.jpg,Petal Theory Bloom Facial Oil | Skincare,Shop the Petal Theory Bloom Facial Oil. Free shipping over S$60.,,"Aqua, Glycerin, Rosehip Oil, Vitamin E, Panthenol, Sodium Hyaluronate, Parfum"
petal-gentle-gel,Petal Theory Gentle Everyday Gel Cream,"<p>Hydration that knows when to stop. Gentle Everyday Gel Cream gives skin exactly what it needs and nothing it doesn't — a finish that disappears, so the rest of your routine can get on with it.</p>",Petal Theory,Health & Beauty > Personal Care > Cosmetics > Skin Care,Moisturiser,"moisturiser, petal-theory, budget-price, normal, combination, sensitive, fragrance-free, vegan, refillable",TRUE,Size,50ml,PETALGENTLEGEL,50,75,38.00,https://cdn.example.com/petal-gentle-gel.jpg,Petal Theory Gentle Everyday Gel Cream | Skincare,Shop the Petal Theory Gentle Everyday Gel Cream. Free shipping over S$60.,,"Aqua, Glycerin, Glycerin, Panthenol, Panthenol, Sodium Hyaluronate"
fifth-vitc-serum,Fifth Element Stabilised Vitamin C 15% Serum,"<p>Concentrated, considered, and formulated without the theatre. Stabilised Vitamin C 15% Serum is the step that does the quiet work while everything else takes the credit.</p>",Fifth Element,Health & Beauty > Personal Care > Cosmetics > Skin Care,Serum,"serum, fifth-element, budget-price, normal, combination, oily, fragrance-free, vegan",TRUE,Size,30ml,FIFTHVITCSERUM,30,20,56.00,https://cdn.example.com/fifth-vitc-serum.jpg,Fifth Element Stabilised Vitamin C 15% Serum | Skincare,Shop the Fifth Element Stabilised Vitamin C 15% Serum. Free shipping over S$60.,,"Aqua, Glycerin, L-Ascorbic Acid, Ferulic Acid, Panthenol, Sodium Hyaluronate"
fifth-peptide-eye,Fifth Element Peptide Eye Concentrate,<p>A focused step for skin that wants results. Peptide Eye Concentrate is where your routine stops being maintenance and starts being intentional.</p>,Fifth Element,Health & Beauty > Personal Care > Cosmetics > Skin Care,Treatment,"treatment, fifth-element, budget-price, normal, dry, sensitive, combination, fragrance-free, vegan",TRUE,Size,15ml,FIFTHPEPTIDEEY,15,110,52.00,https://cdn.example.com/fifth-peptide-eye.jpg,Fifth Element Peptide Eye Concentrate | Skincare,Shop the Fifth Element Peptide Eye Concentrate. Free shipping over S$60.,,"Aqua, Glycerin, Peptide Complex, Caffeine, Panthenol, Sodium Hyaluronate"
fifth-refill-moisturiser,Fifth Element Everyday Moisturiser Refill System,"<p>Hydration that knows when to stop. Everyday Moisturiser Refill System gives skin exactly what it needs and nothing it doesn't — a finish that disappears, so the rest of your routine can get on with it.</p>",Fifth Element,Health & Beauty > Personal Care > Cosmetics > Skin Care,Moisturiser,"moisturiser, fifth-element, budget-price, normal, combination, dry, fragrance-free, vegan, refillable",TRUE,Size,75ml,FIFTHREFILLMOI,75,5,44.00,https://cdn.example.com/fifth-refill-moisturiser.jpg,Fifth Element Everyday Moisturiser Refill System | Skincare,Shop the Fifth Element Everyday Moisturiser Refill System. Free shipping over S$60.,,"Aqua, Glycerin, Glycerin, Squalane, Ceramide Np, Panthenol, Sodium Hyaluronate"
